cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS,GU,addr_clean,lat,lon,SEAT_CNT_NUM,ROOM_CNT,PKPL_NUM
1,1890,대구광역시 중구 공평동 11-3,디저트/베이커리,공주당베이커리,053-427-7256,08:00 ~ 20:00,없음,없음,없음,영어 ,가능,불가능,불가능,불가능,"쌀빵 3,000원 <br />팥빵(4개) 3,000원<br />시몬카스테라(6개) 3,000원 <br />찹쌀도넛 1,000원 <br />휘낭시에 5,000원",공주당 베이커리 는 동성로 한가운데에서 복고적인 분위기와 함께 정감 있는 맛을 전하는 베이커리 전문점입니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 556m 거리,버스 정류장은 대구시티센터 정류장이 가장 가깝습니다.,중구,대구광역시 중구 공평동 11-3,35.87032,128.59819,0,0,0
2,1874,대구광역시 중구 대봉동 4-1,일식,톤톤 돈카츠,053-252-4668,11:00 ~ 20:30 (브레이크타임 14:40 ~ 17:30),20석,김광석길공영주차장이용(유료),없음,영어 ,가능,불가능,불가능,불가능,"히레카츠(안심) 12,000원<br />로스카츠(등심) 12,000원<br />치즈카츠 13,000원 <br />경양식 돈까스 11,000원 <br />냉모밀 소바 8,500원",‘톤톤 돈가츠’는 작지만 정성 가득한 수제 돈카츠 전문점입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 483m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 4-1,35.8586783,128.603013,20,0,1
3,1873,대구광역시 중구 대봉동 9-6,한식,육즙,053-262-6060,16:00 ~ 01:00 (주말 14:00 ~ 01:00),24석,김광석길공영주차장이용,없음,영어 ,가능,불가능,불가능,불가능,"본삼겹(150g) 18,000원 <br />삼겹살(120g) 13,000원 <br />꽃복살(120g) 13,000원 <br />목항정(120g) 15,000원 <br />갈매기살(120g) 15,000원",육즙 은 숙성 삼겹살과 다양한 부위의 숯불구이를 전문으로 하는 고깃집입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 498m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 9-6,35.8586783,128.603013,24,0,1
4,1872,대구광역시 중구 대봉동 2-11,중식,음밀한양,0507-1353-2337,16:30 ~ 23:50,40석,김광석거리공용주차장이용,없음,영어 ,가능,불가능,불가능,불가능,"음밀한커플세트 54,000원 <br />냉장 생 양갈비(180g) 22,000원 <br />냉장 생 양등심 19,000원 <br />양숄더소금구이 16,000원<br />숙성양꼬치 14,000원",음밀한양 은 감각적인 분위기 속에서 참숯에 구워낸 양고기를 즐길 수 있는 양고기 전문점입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 450m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 2-11,35.8586783,128.603013,40,0,1
5,1871,대구광역시 중구 대봉동 3-16,일식,와래이수제꼬치전문점,053-254-1553,16:00 ~ 01:00 (주말 12:00 ~ 01:00),10석,김광석길공영주차장,없음,영어 ,가능,불가능,불가능,불가능,"타코야끼 10알 6,500원 <br />이고가 젤 낫제 세트 30,900원 <br />와래이 닭꼬치 4,000원 <br />국내산 마늘 꼬치 2,000원 <br />갈릭버터새우꼬치 14,500원",대구 중구 김광석거리 인근에 위치한 와래이 수제꼬치전문점은 숯불향 가득한 수제 꼬치와 다양한 안주 메뉴로 유명한 일식 꼬치 전문점입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 491m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 3-16,35.8586783,128.603013,10,0,1
6,1870,대구광역시 중구 남산동 230-7,전통차/커피전문점,씨티씨커피로스터스 남산본점,0507-1447-7865,10:00 ~ 22:00 (주말 11:00 ~ 21:00),10석,4대,없음,영어 ,가능,불가능,불가능,불가능,"라떼 4,500원<br />초당옥수수커피 6,500원<br />우유생크림소금빵 4,300원 <br />에그포테이토소금빵 5,100원","씨티씨커피로스터스 남산본점은 감각적인 인테리어와 직접 로스팅한 원두, 그리고 매장에서 직접 구운 소금빵으로 유명한 로스터리 카페입니다.","지하철 2,3호선 청라언덕역 5번 출구에서 도보로 약 568m 거리.",버스 정류장은 남산2동행정복지센터건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 남산동 230-7,35.8616174,128.587267,10,0,4
7,1869,대구광역시 중구 동성로1가 2-1,한식,초가식당,053-424-5896,11:30 ~ 21:00 (15:30 ~ 17:00),54석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"오징어볶음 18,000원 ~ 34,000원<br />제육볶음 16,000원 ~ 30,000원<br />낙지볶음 21,000원 ~ 40,000원<br />우삼겹 된장찌개 7,000원<br />김치찌개 7,000원","초가식당 은 불향 가득한 볶음 요리로 유명한 한식당입니다. 특히 오징어볶음, 제육볶음, 낙지볶음 등 매콤한 볶음 요리가 대표 메뉴입니다.",지하철 1호선 중앙로역 3번 출구에서 도보로 약 343m 거리.,버스 정류장은 대구역건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동성로1가 2-1,35.86931,128.59576,54,0,0
8,1868,대구광역시 중구 대봉동 7-3,전통차/커피전문점,바람불어오는곳,053-252-5755,11:30~22:00,45석,없음(김광석길공용주차장이용),smartstore.naver.com/cafe_windyplace,영어 ,가능,불가능,불가능,불가능,"에그타르트 4,500원<br />옥수수타르트 4,500원<br />군밤 6,000원<br />아메리카노 4,500원 ~ 5,000원",김광석거리 중심에 위치한 카페 ‘바람이 불어오는 곳’ 은 감성적인 분위기와 독특한 디저트로 많은 이들의 사랑을 받고 있는 공간입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 500m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 7-3,35.8586783,128.603013,45,0,0
9,1867,대구광역시 중구 삼덕동1가 55-47,특별한 술집,레몽,0507-1440-0723,18:00 ~ 02:00 (금/토 18:00 ~ 04:00),24석,없음,www.instagram.com/lemong_kr/,영어 ,불가능,불가능,불가능,불가능,"스키나베 24,000원<br />오뎅모리 21,000원<br />야끼소바 14,000원<br />대파 타래야끼 19,000원",레몽은 일본식 이자카야 분위기를 물씬 풍기는 감성 주점입니다.,"지하철 1,2호선 반월당역 10번 출구에서 도보로 약 407m 거리.",버스 정류장은 삼덕교회 정류장이 가장 가깝습니다.,중구,대구광역시 중구 삼덕동1가 55-47,35.86596,128.59744,24,0,0
10,1866,대구광역시 중구 봉산동 35-34,일식,디귿카츠,010-****-9068,11:30 ~ 21:00 (15:00 ~ 16:00),18석,없음,instagram.com/di.geut,영어 ,가능,불가능,불가능,불가능,"로스카츠 12,500원<br />히레카츠 12,500원<br />상로스카츠 14,000원","디귿카츠는 정통 일본식 돈카츠를 선보이는 맛집으로, 깔끔한 인테리어와 정성 어린 요리로 유명한 돈카츠 전문점입니다.","지하털 1,2호선 반월당역 10번 출구에서 도보로 약 88m 거리.",버스 정류장은 봉산문화거리건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 봉산동 35-34,35.86322,128.59761,18,0,0
